[2023-12-12 22:35:02,168] INFO [Controller id=0 epoch=26] Sending UpdateMetadata request to brokers HashSet() for 0 partitions (state.change.logger)
[2023-12-12 22:39:01,842] INFO [Controller id=0 epoch=27] Sending UpdateMetadata request to brokers HashSet(0) for 0 partitions (state.change.logger)
[2023-12-12 22:39:01,883] INFO [Controller id=0 epoch=27] Sending LeaderAndIsr request to broker 0 with 51 become-leader and 0 become-follower partitions (state.change.logger)
[2023-12-12 22:39:01,887] INFO [Controller id=0 epoch=27] Sending UpdateMetadata request to brokers HashSet(0) for 51 partitions (state.change.logger)
[2023-12-12 22:39:02,071] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2023-12-12 22:39:02,103] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 27 as part of the become-leader transition for 51 partitions (state.change.logger)
[2023-12-12 22:39:02,114] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,127] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,138] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,150] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,161] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,173] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,185] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,197] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,209] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,220] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,231] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,242] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,253] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
